order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total,customer_id,employee_id,order_date,ship_date,order_status,payment_method,order_total,processing_days,customer_name,customer_type,city,state,product_name,category,size,thickness,unit_cost,retail_price,wholesale_price,employee_name,region,profit,order_month
OI000001,O10000,P1014,23,6.52,0.0,149.96,C0109,E107,2024-10-20,2024-10-24,Delivered,UPI,149.96,4,Local Print Corner Lucknow,Retail,Lucknow,Uttar Pradesh,Matte Lamination Pouch - A4,Pouch,A4,100 micron,3.53,6.52,5.08,Divya Nair,East,68.77,2024-10
OI000002,O10001,P1069,3,8.65,0.0,25.95,C0141,E107,2024-06-09,2024-06-11,Delivered,Cash,25.95,2,Print N Bind Hyderabad,Retail,Hyderabad,Telangana,Anti-Scratch Lamination Sheet - A3,Sheet,A3,100 micron,4.13,8.65,6.14,Divya Nair,East,13.56,2024-06
OI000003,O10002,P1002,14,4.14,0.015,57.09,C0108,E104,2025-04-25,2025-04-28,Delivered,UPI,57.09,3,Smart Print Studio Bengaluru,Retail,Bengaluru,Karnataka,Glossy Lamination Pouch - A3,Pouch,A3,150 micron,2.54,4.14,3.79,Vikram Rao,Central,22.06,2025-04
OI000004,O10003,P1042,94,10.33,0.0,971.02,C0011,E107,2024-11-02,2024-11-04,Delivered,Bank Transfer,8443.4,2,Stationery Junction Pune,Wholesale,Pune,Maharashtra,Self-Adhesive Laminate Sheet - A4,Sheet,A4,125 micron,8.14,15.17,10.33,Divya Nair,East,205.86,2024-11
OI000005,O10003,P1039,26,45.54,0.0,1184.04,C0011,E107,2024-11-02,2024-11-04,Delivered,Bank Transfer,8443.4,2,Stationery Junction Pune,Wholesale,Pune,Maharashtra,Cold Lamination Roll - 27in,Roll,27in,150 micron,36.21,70.77,45.54,Divya Nair,East,242.58,2024-11
OI000006,O10003,P1002,30,3.79,0.0,113.7,C0011,E107,2024-11-02,2024-11-04,Delivered,Bank Transfer,8443.4,2,Stationery Junction Pune,Wholesale,Pune,Maharashtra,Glossy Lamination Pouch - A3,Pouch,A3,150 micron,2.54,4.14,3.79,Divya Nair,East,37.5,2024-11
OI000007,O10003,P1061,192,9.47,0.012,1796.42,C0011,E107,2024-11-02,2024-11-04,Delivered,Bank Transfer,8443.4,2,Stationery Junction Pune,Wholesale,Pune,Maharashtra,PVC ID Card Laminate - ID Card,Pouch,ID Card,150 micron,7.04,13.3,9.47,Divya Nair,East,460.96,2024-11
OI000008,O10003,P1049,47,12.54,0.0,589.38,C0011,E107,2024-11-02,2024-11-04,Delivered,Bank Transfer,8443.4,2,Stationery Junction Pune,Wholesale,Pune,Maharashtra,Soft Touch Lamination Film - A4,Film,A4,150 micron,8.44,16.27,12.54,Divya Nair,East,192.7,2024-11
OI000009,O10003,P1022,76,5.13,0.0,389.88,C0011,E107,2024-11-02,2024-11-04,Delivered,Bank Transfer,8443.4,2,Stationery Junction Pune,Wholesale,Pune,Maharashtra,Matte Lamination Pouch - Letter,Pouch,Letter,75 micron,3.6,6.86,5.13,Divya Nair,East,116.28,2024-11
OI000010,O10003,P1074,73,17.14,0.0,1251.22,C0011,E107,2024-11-02,2024-11-04,Delivered,Bank Transfer,8443.4,2,Stationery Junction Pune,Wholesale,Pune,Maharashtra,UV Protective Lamination Film - A3,Film,A3,250 micron,12.09,21.0,17.14,Divya Nair,East,368.65,2024-11
