order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI000001,O10000,P1014,23,6.52,0.0,149.96
OI000002,O10001,P1069,3,8.65,0.0,25.95
OI000003,O10002,P1002,14,4.14,0.015,57.09
OI000004,O10003,P1042,94,10.33,0.0,971.02
OI000005,O10003,P1039,26,45.54,0.0,1184.04
OI000006,O10003,P1002,30,3.79,0.0,113.7
OI000007,O10003,P1061,192,9.47,0.012,1796.42
OI000008,O10003,P1049,47,12.54,0.0,589.38
OI000009,O10003,P1022,76,5.13,0.0,389.88
OI000010,O10003,P1074,73,17.14,0.0,1251.22
OI000011,O10003,P1057,116,19.51,0.051,2147.74
OI000012,O10004,P1027,2,65.16,0.031,126.28
OI000013,O10004,P1025,22,54.94,0.028,1174.84
OI000014,O10004,P1018,18,8.68,0.0,156.24
OI000015,O10005,P1029,106,27.21,0.033,2789.08
OI000016,O10005,P1022,153,5.13,0.072,728.38
OI000017,O10005,P1018,171,5.96,0.041,977.37
OI000018,O10005,P1063,120,9.62,0.042,1105.92
OI000019,O10006,P1074,4,21.0,0.0,84.0
OI000020,O10006,P1029,24,34.62,0.0,830.88
OI000021,O10007,P1000,20,10.41,0.0,208.2
OI000022,O10008,P1074,13,21.0,0.014,269.18
OI000023,O10009,P1069,15,8.65,0.0,129.75
OI000024,O10009,P1027,15,65.16,0.0,977.4
OI000025,O10009,P1044,11,8.99,0.0,98.89
OI000026,O10010,P1061,21,13.3,0.0,279.3
OI000027,O10011,P1057,17,27.97,0.013,469.31
OI000028,O10011,P1036,21,67.58,0.035,1369.51
OI000029,O10011,P1046,2,8.64,0.0,17.28
OI000030,O10012,P1011,166,10.18,0.016,1662.84
OI000031,O10012,P1022,99,5.13,0.012,501.78
OI000032,O10012,P1061,53,9.47,0.0,501.91
OI000033,O10012,P1014,64,5.08,0.0,325.12
OI000034,O10012,P1077,141,17.4,0.007,2436.23
OI000035,O10012,P1036,124,49.26,0.008,6059.37
OI000036,O10012,P1072,58,7.61,0.0,441.38
OI000037,O10012,P1016,29,5.44,0.0,157.76
OI000038,O10013,P1032,118,43.73,0.09,4695.73
OI000039,O10013,P1025,61,39.29,0.0,2396.69
OI000040,O10013,P1052,139,21.28,0.042,2833.69
OI000041,O10014,P1072,145,7.61,0.02,1081.38
OI000042,O10014,P1000,163,7.4,0.081,1108.5
OI000043,O10014,P1020,124,4.79,0.037,571.98
OI000044,O10014,P1018,54,5.96,0.0,321.84
OI000045,O10015,P1025,14,54.94,0.0,769.16
OI000046,O10016,P1049,195,12.54,0.083,2242.34
OI000047,O10016,P1039,22,45.54,0.0,1001.88
OI000048,O10016,P1055,118,9.97,0.084,1077.64
OI000049,O10016,P1046,131,6.1,0.07,743.16
OI000050,O10016,P1032,178,43.73,0.014,7674.96
OI000051,O10017,P1022,22,6.86,0.0,150.92
OI000052,O10017,P1061,5,13.3,0.0,66.5
OI000053,O10018,P1022,22,6.86,0.0,150.92
OI000054,O10019,P1061,4,13.3,0.0,53.2
OI000055,O10020,P1059,19,16.76,0.0,318.44
OI000056,O10020,P1036,2,67.58,0.0,135.16
OI000057,O10021,P1039,12,70.77,0.0,849.24
OI000058,O10021,P1074,12,21.0,0.0,252.0
OI000059,O10022,P1032,23,71.48,0.0,1644.04
OI000060,O10022,P1063,3,13.29,0.0,39.87
OI000061,O10023,P1011,23,12.76,0.0,293.48
OI000062,O10024,P1029,14,34.62,0.0,484.68
OI000063,O10024,P1005,4,8.96,0.0,35.84
OI000064,O10025,P1020,14,5.89,0.0,82.46
OI000065,O10026,P1074,2,21.0,0.0,42.0
OI000066,O10027,P1000,16,10.41,0.0,166.56
OI000067,O10027,P1020,20,5.89,0.0,117.8
OI000068,O10028,P1008,19,18.57,0.0,352.83
OI000069,O10028,P1052,7,29.94,0.0,209.58
OI000070,O10028,P1059,13,16.76,0.0,217.88
OI000071,O10029,P1057,9,27.97,0.0,251.73
OI000072,O10030,P1059,50,11.79,0.022,576.53
OI000073,O10030,P1011,21,10.18,0.0,213.78
OI000074,O10030,P1055,180,9.97,0.039,1724.61
OI000075,O10030,P1066,103,9.12,0.045,897.09
OI000076,O10030,P1046,133,6.1,0.035,782.9
OI000077,O10030,P1002,165,3.79,0.033,604.71
OI000078,O10031,P1014,8,6.52,0.0,52.16
OI000079,O10031,P1057,12,27.97,0.0,335.64
OI000080,O10032,P1049,5,16.27,0.0,81.35
OI000081,O10032,P1072,21,9.65,0.0,202.65
OI000082,O10033,P1049,19,16.27,0.0,309.13
OI000083,O10033,P1039,15,70.77,0.0,1061.55
OI000084,O10033,P1034,5,107.1,0.0,535.5
OI000085,O10034,P1014,24,6.52,0.0,156.48
OI000086,O10034,P1039,10,70.77,0.0,707.7
OI000087,O10035,P1042,23,15.17,0.036,336.35
OI000088,O10035,P1011,12,12.76,0.0,153.12
OI000089,O10035,P1061,23,13.3,0.003,304.98
OI000090,O10036,P1059,132,11.79,0.028,1512.7
OI000091,O10036,P1042,104,10.33,0.077,991.6
OI000092,O10036,P1000,68,7.4,0.039,483.58
OI000093,O10036,P1052,81,21.28,0.0,1723.68
OI000094,O10036,P1025,59,39.29,0.0,2318.11
OI000095,O10036,P1018,82,5.96,0.0,488.72
OI000096,O10036,P1063,69,9.62,0.038,638.56
OI000097,O10037,P1008,13,18.57,0.0,241.41
OI000098,O10037,P1002,20,4.14,0.043,79.24
OI000099,O10038,P1029,4,34.62,0.0,138.48
OI000100,O10039,P1011,17,12.76,0.0,216.92
OI000101,O10039,P1066,12,11.24,0.0,134.88
OI000102,O10040,P1049,10,16.27,0.0,162.7
OI000103,O10040,P1052,12,29.94,0.0,359.28
OI000104,O10040,P1059,4,16.76,0.0,67.04
OI000105,O10041,P1057,40,19.51,0.0,780.4
OI000106,O10041,P1061,23,9.47,0.0,217.81
OI000107,O10041,P1025,22,39.29,0.0,864.38
OI000108,O10041,P1020,120,4.79,0.007,570.78
OI000109,O10042,P1049,12,16.27,0.0,195.24
OI000110,O10043,P1034,15,107.1,0.0,1606.5
OI000111,O10043,P1061,8,13.3,0.0,106.4
OI000112,O10043,P1011,20,12.76,0.0,255.2
OI000113,O10044,P1039,7,70.77,0.013,488.95
OI000114,O10044,P1074,6,21.0,0.0,126.0
OI000115,O10045,P1011,3,12.76,0.0,38.28
OI000116,O10045,P1018,2,8.68,0.0,17.36
OI000117,O10045,P1029,12,34.62,0.0,415.44
OI000118,O10046,P1044,6,8.99,0.0,53.94
OI000119,O10046,P1046,6,8.64,0.0,51.84
OI000120,O10047,P1002,24,4.14,0.0,99.36
OI000121,O10047,P1005,19,8.96,0.0,170.24
OI000122,O10047,P1066,8,11.24,0.0,89.92
OI000123,O10048,P1029,9,34.62,0.036,300.36
OI000124,O10049,P1029,7,34.62,0.0,242.34
OI000125,O10049,P1014,7,6.52,0.0,45.64
OI000126,O10050,P1018,21,8.68,0.0,182.28
OI000127,O10050,P1061,12,13.3,0.0,159.6
OI000128,O10050,P1020,7,5.89,0.009,40.86
OI000129,O10051,P1014,125,5.08,0.074,588.01
OI000130,O10051,P1022,180,5.13,0.047,880.0
OI000131,O10051,P1039,165,45.54,0.027,7311.22
OI000132,O10051,P1052,48,21.28,0.0,1021.44
OI000133,O10051,P1025,172,39.29,0.026,6582.18
OI000134,O10051,P1063,139,9.62,0.079,1231.54
OI000135,O10051,P1018,98,5.96,0.0,584.08
OI000136,O10051,P1057,101,19.51,0.046,1879.87
OI000137,O10052,P1034,9,107.1,0.0,963.9
OI000138,O10052,P1016,3,6.93,0.0,20.79
OI000139,O10053,P1061,61,9.47,0.0,577.67
OI000140,O10053,P1000,30,7.4,0.0,222.0
OI000141,O10053,P1044,165,6.11,0.014,994.04
OI000142,O10054,P1008,23,18.57,0.0,427.11
OI000143,O10055,P1011,6,12.76,0.0,76.56
OI000144,O10056,P1027,158,56.63,0.029,8688.06
OI000145,O10056,P1032,148,43.73,0.067,6038.41
OI000146,O10056,P1011,82,10.18,0.0,834.76
OI000147,O10056,P1008,31,11.94,0.017,363.85
OI000148,O10056,P1077,192,17.4,0.041,3203.83
OI000149,O10056,P1042,43,10.33,0.0,444.19
OI000150,O10056,P1063,119,9.62,0.1,1030.3
OI000151,O10056,P1057,77,19.51,0.0,1502.27
OI000152,O10057,P1069,8,8.65,0.0,69.2
OI000153,O10057,P1046,3,8.64,0.0,25.92
OI000154,O10057,P1027,12,65.16,0.0,781.92
OI000155,O10058,P1027,9,65.16,0.032,567.67
OI000156,O10059,P1066,18,11.24,0.0,202.32
OI000157,O10060,P1052,180,21.28,0.093,3474.17
OI000158,O10060,P1018,36,5.96,0.0,214.56
OI000159,O10060,P1014,89,5.08,0.0,452.12
OI000160,O10061,P1046,20,8.64,0.0,172.8
OI000161,O10061,P1029,1,34.62,0.0,34.62
OI000162,O10062,P1002,11,4.14,0.0,45.54
OI000163,O10062,P1000,16,10.41,0.0,166.56
OI000164,O10062,P1074,-23,21.0,0.029,468.99
OI000165,O10063,P1066,10,11.24,0.0,112.4
