order_id,customer_id,employee_id,order_date,ship_date,order_status,payment_method,order_total
O10000,C0109,E107,2024-10-20,2024-10-24,Delivered,UPI,149.96
O10001,C0141,E107,2024-06-09,2024-06-11,Delivered,Cash,25.95
O10002,C0108,E104,2025-04-25,2025-04-28,Delivered,UPI,57.09
O10003,C0011,E107,2024-11-02,2024-11-04,Delivered,Bank Transfer,8443.4
O10004,C0078,E108,2024-04-17,2024-04-22,Delivered,UPI,1457.36
O10005,C0035,E102,2025-10-19,2025-10-20,Delivered,UPI,5600.75
O10006,C0101,E106,2025-05-23,2025-05-26,Delivered,Cheque,914.88
O10007,C0127,E105,2025-05-18,2025-05-22,Delivered,UPI,208.2
O10008,C0085,E109,2025-08-30,2025-08-31,Delivered,Cheque,269.18
O10009,C0059,E100,2025-01-25,2025-01-26,Delivered,Cash,1206.04
O10010,C0053,E104,2025-08-23,2025-08-26,Delivered,Cash,279.3
O10011,C0085,E100,2024-12-29,2025-01-01,Delivered,Cash,1856.1
O10012,C0041,E105,2024-02-27,2024-02-29,Delivered,Bank Transfer,12086.39
O10013,C0018,E108,2024-10-22,2024-10-23,Delivered,Credit Terms,9926.11
O10014,C0037,E100,2024-12-28,2025-01-02,Delivered,Cheque,3083.7
O10015,C0102,E107,2025-06-10,2025-06-13,Cancelled,UPI,0.0
O10016,C0021,E102,2024-04-01,2024-04-04,Returned,Bank Transfer,12739.98
O10017,C0124,E101,2024-04-22,2024-04-25,Cancelled,Bank Transfer,0.0
O10018,C0056,E108,2024-07-10,2024-07-12,Delivered,UPI,150.92
O10019,C0110,E105,2024-07-12,2024-07-17,Delivered,UPI,53.2
O10020,C0146,E106,2025-06-18,2025-06-23,Delivered,Cash,453.6
O10021,C0112,E106,2024-06-29,2024-07-02,Delivered,UPI,1101.24
O10022,C0046,E102,2025-04-18,2025-04-22,Delivered,UPI,1683.91
O10023,C0087,E105,2024-12-26,2024-12-28,Returned,Cash,293.48
O10024,C0074,E107,2025-03-04,2025-03-05,Delivered,UPI,520.52
O10025,C0148,E102,2025-09-09,2025-09-13,Delivered,UPI,82.46
